AOS.Howard.Moore.Name	Male_Song_Delta_Time_(s)	Male_Song_Peak_Freq_(Hz)	Male_Song_Avg_Entropy_(bits)	Male_Song_n.notes	Male_note_avg_duration_(s)	Male_Song_Pace_(n/s)
Gymnopithys_leucaspis	3.366111111	3056.333333	4.049555556	14	0.191671605	4.095211131
Gymnopithys_rufigula	2.783625	3079.225	3.8856875	13.3125	0.166548324	4.70467683
Hafferia_fortis	2.811125	2719.49375	2.8701875	10.0625	0.177797714	3.441463599
Hafferia_immaculata	2.504333333	2617.34375	2.924041667	5	0.311935069	1.824486028
Hafferia_zeledoni	2.7968125	3071.16875	3.1258125	11.125	0.117212162	3.778548561
Herpsilochmus_atricapillus	1.959666667	2126.416667	3.852	32.875	0.031609138	16.53218306
Herpsilochmus_axillaris	1.690583333	3465.947917	3.9823125	26.58333333	0.033001542	15.43413029
Herpsilochmus_dorsimaculatus	1.666777778	2203.561111	3.496277778	32.16666667	0.031960086	19.06430719
Herpsilochmus_dugandi	1.935375	2369.26875	4.239375	17.1875	0.047123314	8.572744894
Herpsilochmus_gentryi	2.11625	2327.395833	3.732666667	18.95833333	0.048737987	8.685963234
Herpsilochmus_longirostris	2.1248125	2019.8375	4.2701875	15.9375	0.065039752	7.252013608
Herpsilochmus_motacilloides	1.833027778	3017.022222	4.325944444	24.58333333	0.043858104	13.18116089
Herpsilochmus_parkeri	1.905833333	2402.760417	3.442583333	19.54166667	0.052585402	10.00495743
Herpsilochmus_pectoralis	2.055666667	1754.954167	3.781833333	24.58333333	0.047481629	11.74360574
Herpsilochmus_pileatus	2.186458333	2277.035417	3.7501875	25.08333333	0.040742191	11.22391395
Herpsilochmus_praedictus	1.83575	2088.7375	3.36525	52.625	0.022225421	28.46666684
Herpsilochmus_roraimae	1.927	2690.6125	4.194	16.75	0.057140863	8.423094384
Herpsilochmus_rufimarginatus	1.6356875	2274.466667	3.816895833	13.8125	0.064525758	8.154793781
Herpsilochmus_sellowi	2.19475	2671.904167	3.809041667	58.25	0.022609293	26.35648777
Herpsilochmus_stictocephalus	1.997583333	2362.3875	3.859479167	13.16666667	0.066736023	6.301206006
Herpsilochmus_sticturus	2.315208333	2496.272917	4.6825625	20.47916667	0.041415238	8.566815824
Herpsilochmus_stotzi	2.093333333	1927.8	3.271777778	33.61111111	0.034536629	15.83988892
Hylophylax_naevioides	3.65125	4045.527083	3.2679375	17.77083333	0.151553096	4.792081656
Hylophylax_naevius	3.896875	4098.6125	3.8815	20.0625	0.120105075	5.047302425
Hylophylax_punctulatus	0.569	3756.24375	3.67475	2	0.2364375	3.00695358
Hypocnemis_cantator	2.551611111	3157.475	4.095388889	9.416666667	0.167057992	3.529662057
Hypocnemis_flavescens	2.707979167	2779.322917	3.607333333	9.666666667	0.175661622	3.422424919
Hypocnemis_hypoxantha	4.395916667	3364.554167	3.987041667	10.29166667	0.231904662	2.231421681
Hypocnemis_ochrogyna	2.840229167	2885.695833	4.366	12.9375	0.122322387	4.392166828
Hypocnemis_peruviana	2.46175	3006.429167	3.9834375	8.145833333	0.17960927	3.131197493
Hypocnemis_rondoni	0.677375	2905.1875	3.304375	4	0.1200625	5.382976337
Hypocnemis_striata	2.396395833	2692.491667	3.881458333	10.27083333	0.123478861	4.078826216
Hypocnemis_subflava	3.9770625	2924.91875	4.4071875	10.875	0.248581525	2.648531685
Hypocnemoides_maculicauda	3.427875	3386.072917	4.213604167	20.16666667	0.10603029	5.769886415
Hypocnemoides_melanopogon	2.432	3246.122917	3.983604167	14.625	0.086603482	5.80925225
Hypoedaleus_guttatus	3.713979167	2959.197917	2.933916667	49.64583333	0.039529595	13.23894433
Isleria_guttata	9.000604167	3978.245833	3.428604167	17.5625	0.350427466	1.914700771
Isleria_hauxwelli	8.365104167	4069.389583	4.14175	19.33333333	0.233088812	2.254463689
Mackenziaena_leachii	4.303104167	3432.68125	2.654604167	17.5625	0.181976194	4.018923972
Mackenziaena_severa	3.378625	2775.622917	2.6911875	6.1875	0.409096329	1.746910226
Megastictus_margaritatus	2.898916667	2133.595833	3.4770625	11.1875	0.166240279	3.728030164
Microrhopias_quixensis	2.1985	4375.060417	3.905104167	10.97916667	0.106159599	4.769380099
Myrmeciza_longipes	3.251979167	3415.7	3.7450625	25.04166667	0.066733983	7.547822939
Myrmelastes_brunneiceps	2.21	4737.3	3.841833333	23	0.037367677	10.12596552
Myrmelastes_caurensis	3.9165	3738.25	3.6055	10.25	0.130909091	2.443475859
Myrmelastes_humaythae	2.994583333	2960.533333	3.234777778	38.11111111	0.032529786	12.52884545
Myrmelastes_hyperythrus	2.5555	2269.78125	3.558625	32.1875	0.037428147	12.38546865
Myrmelastes_leucostigma	2.642	3690.216667	3.593833333	33.16666667	0.036184941	12.34418634
Myrmelastes_rufifacies	2.470916667	3537.71875	3.553458333	24.29166667	0.04725283	9.610106118
Myrmelastes_saturatus	2.772583333	5351.563889	3.684305556	23.63888889	0.050030121	8.315315486
Myrmelastes_schistaceus	2.5645625	3108.84375	3.505625	6.9375	0.220315228	2.532795952
Myrmoborus_leucophrys	4.449575	2860.648333	3.269016667	46.25	0.05626667	10.29975513
Myrmoborus_lophotes	2.8096875	2146.416667	3.6125	15.9375	0.064841135	5.442016788
Myrmoborus_lugubris	4.212791667	3030.208333	3.551416667	25.0625	0.082025767	5.825190917
Myrmoborus_melanurus	3.065541667	2679.979167	3.58925	21.66666667	0.076527225	6.9142077
Myrmoborus_myotherinus	2.8981875	3241.921875	3.2324375	12.21875	0.159069181	4.095752243
Myrmochanes_hemileucus	0.737333333	1924.197917	3.710854167	15.72916667	0.024535195	20.66386805
Myrmoderus_eowilsoni	1.427916667	3218.725	2.534666667	3.916666667	0.2548125	2.486281056
Myrmoderus_ferrugineus	1.7793125	3748.63125	3.237020833	10.70833333	0.109764583	5.81494741
Myrmoderus_loricatus	1.743875	5090.925	3.202375	11.375	0.090549182	6.275230136
Myrmoderus_ruficauda	1.83875	3730.5875	4.059791667	30.45833333	0.029794975	16.28472401
Myrmoderus_squamosus	1.713625	5203.68125	3.2459375	11	0.104922196	6.216188579
Myrmophylax_atrothorax	1.6650625	4343.622917	3.913875	9.791666667	0.097166362	5.60730169
Myrmorchilus_strigilatus	0.9245625	3709.541667	3.14175	2	0.417458333	1.971981431
Myrmornis_torquata	6.0653125	3090.2875	3.55	17.5625	0.212840579	2.830000762
Myrmotherula_ambigua	6.95775	2627.05	2.521	12.5	0.140645299	1.686933164
Myrmotherula_assimilis	3.199625	2605.525	3.928375	48	0.034564498	14.84963715
Myrmotherula_axillaris	2.891387755	2502.691156	4.037666667	16.05782313	0.111669766	5.417032658
Myrmotherula_behni	2.907666667	3761.108333	3.730416667	8.083333333	0.238904266	2.654164092
Myrmotherula_brachyura	2.574958333	2695.933333	4.171666667	23.54166667	0.048053576	8.920663352
Myrmotherula_cherriei	2.479625	2797.7	4.801625	53.125	0.026365581	21.2472434
Myrmotherula_grisea	1.618333333	3097.175	3.413708333	5.5	0.236842857	3.257351446
Myrmotherula_ignota	2.835322917	2856.733333	3.96775	18.20833333	0.066837634	6.215793684
Myrmotherula_iheringi	7.147625	2532.695833	3.256791667	12.22916667	0.314956547	1.64345259
Myrmotherula_klagesi	3.396791667	2281.375	3.200666667	12.58333333	0.082031487	3.494471004
Myrmotherula_longicauda	2.911916667	2449.425	3.8176875	15.54166667	0.071112962	5.118856556
Myrmotherula_longipennis	2.4230625	3355.13125	3.9571875	7.125	0.20453575	2.760841176
Myrmotherula_menetriesii	5.7238125	3568.9375	3.3489375	11.8125	0.328274912	2.003970841
Myrmotherula_minor	1.3575	5663.2	5.1985	7	0.1131875	4.821939826
Myrmotherula_multostriata	2.120708333	3327.916667	3.9361875	7.166666667	0.181876488	3.180609335
Myrmotherula_pacifica	1.7275	3639.45	4.75175	13.125	0.054636682	7.24805181
Myrmotherula_schisticolor	1.21725	4220.475	5.6165	8.25	0.083024351	6.392026141
Myrmotherula_sclateri	4.96375	2489.8	3.4281875	6.6875	0.263068378	1.209930912
Myrmotherula_snowi	3.915125	3566.8875	3.321375	5.75	0.317034375	1.320144625
Myrmotherula_sunensis	1.063416667	4410.116667	3.976916667	2.833333333	0.294666667	2.384823848
Myrmotherula_surinamensis	1.575	2214.8	3.992	10	0.073775	5.995103998
Myrmotherula_unicolor	0.5408125	3484.25	2.530625	1	0.536833333	1
Myrmotherula_urosticta	3.023229167	3685.15625	3.418479167	4.354166667	0.582288194	1.374128545
Neoctantes_niger	7.82	1660.125	3.3305	15	0.139983333	1.822912711
Oneillornis_lunulatus	3.790375	2809.64375	3.8314375	17.5625	0.171012749	4.576082429
Oneillornis_salvini	3.916166667	3433.220833	3.792125	6.020833333	0.583505729	1.5065539
Percnostola_arenarum	2.1875	2670.13125	2.768125	11.75	0.10020253	5.150200272
Percnostola_rufifrons	2.616885417	2663.145833	2.943854167	8.270833333	0.161791203	2.961529254
Phaenostictus_mcleannani	4.932833333	4016.116667	2.9445	23	0.156667045	4.606204783
Phlegopsis_borbae	1.95675	2944.625	2.9915	2.166666667	0.738652778	0.957777955
Phlegopsis_erythroptera	3.6878125	3329.55625	4.016125	6.6875	0.400053571	1.729901773
Phlegopsis_nigromaculata	2.2705	2996.4	3.27425	3	0.552583333	1.164200825
Pithys_albifrons	0.563166667	3872.56875	2.927375	1	0.563166667	1
Poliocrania_exsul	1.19325	2554.38125	2.978375	2	0.23559375	1.044216022
Pygiptila_stellaris	0.681791667	2667.422917	3.073166667	8.458333333	0.064533112	12.08299712
Pyriglena_atra	2.1286875	2425.50625	2.8904375	8.875	0.138752394	3.957415485
Pyriglena_leuconota	2.353666667	2577.108333	2.99175	14.33333333	0.079586025	5.863175248
Pyriglena_leucoptera	1.913875	2450.420833	2.820916667	6.458333333	0.177118552	3.142831765
Rhegmatorhina_berlepschi	3.1914	3337.88	3.8434	5.9	0.478061667	1.805893478
