aos.howardmoore.species	howardmoore.family	dr.statistic	tb.statistic	nh.statistic	elev.mid	elev.max	elev.range	lat.mid	lat.max	lat.range	AM_percent	AN_percent	DT_percent	AF_percent	CA_percent
Euchrepomis_humeralis	Thamnophilidae	-1.562955163	0.481060402	23.85809629	325	650	650	7.0753479	0.529174805	13.09234619	0.969387744	0.030612256	0	0	0
Euchrepomis_sharpei	Thamnophilidae	-2.107943508	1.010127463	26.39663599	1225	1700	950	14.96171048	12.78041535	4.362590256	0.023036163	0.976963837	0	0	0
Euchrepomis_spodioptila	Thamnophilidae	-1.562955163	0.481060402	23.85809629	550	1100	1100	3.446624756	8.434326172	9.975402832	0.997790769	0.002209231	0	0	0
Formicivora_erythronotos	Thamnophilidae	-2.315206835	2.16837565	23.60078967	25	50	50	23.06375122	22.91680908	0.293884277	0	0	0	1	0
Formicivora_grantsaui	Thamnophilidae	-1.650283716	1.486141054	19.33433019	75	150	150	12.8028937	12.43879522	0.728196971	0	0	1	0	0
Formicivora_grisea	Thamnophilidae	-1.945941486	1.689009709	21.28466729	800	1600	1600	5.401714802	12.45847225	35.72037411	0.421639594	0.075490384	0.235809159	0.167739486	0.099321378
Formicivora_iheringi	Thamnophilidae	-2.026721871	1.773309646	22.21589886	650	1050	800	13.69442749	10.36022949	6.668395996	0	0	0.26116172	0.73883828	0
Formicivora_littoralis	Thamnophilidae	-1.182048403	0.001600718	19.83200986	775	1550	1550	19.4511284	15.92685397	7.048548857	0	0	0.047195791	0.952804209	0
Formicivora_melanogaster	Thamnophilidae	-1.708467097	0.897989481	21.08737039	525	1050	1050	13.22024536	2.367492676	21.70550537	0.03866172	0.009975649	0.649542848	0.301819782	0
Formicivora_rufa	Thamnophilidae	-1.791244117	1.608156692	20.26647546	725	1450	1450	4.703338623	2.539916992	14.48651123	0.12803863	0.025251561	0.379565575	0.467144234	0
Formicivora_serrana	Thamnophilidae	-1.182048403	0.001600718	19.83200986	775	1550	1550	19.4511284	15.92685397	7.048548857	0	0	0.047195791	0.952804209	0
Frederickena_fulva	Thamnophilidae	-1.514323541	0.750526542	18.61603278	557.5	1100	1085	6.216033935	1.932128906	16.29632568	0.909568617	0.090431383	0	0	0
Frederickena_unduliger	Thamnophilidae	-1.514323541	0.750526542	18.61603278	557.5	1100	1085	6.216033935	1.932128906	16.29632568	0.909568617	0.090431383	0	0	0
Frederickena_viridis	Thamnophilidae	-1.942271299	1.663444258	19.48434424	350	700	700	6.707977295	7.96307373	2.510192871	1	0	0	0	0
Gymnocichla_nudiceps	Thamnophilidae	-1.936106829	1.824370244	19.01256974	600	1200	1200	12.53369141	17.04968262	9.031982422	0	0.128523878	0	0	0.871476122
Gymnopithys_bicolor	Thamnophilidae	-0.893280467	0.190887266	18.25887512	500	1000	1000	12.6776123	16.02709961	6.698974609	0	0.186334204	0	0	0.813665796
Gymnopithys_leucaspis	Thamnophilidae	-0.893280467	0.190887266	18.25887512	500	1000	1000	0.614105224	4.409301757	7.590393066	0.95340308	0.04659692	0	0	0
Gymnopithys_rufigula	Thamnophilidae	-1.301808682	0.614781233	19.2060169	300	600	600	4.499063865	8.072875977	7.147624225	1	0	0	0	0
Hafferia_fortis	Thamnophilidae	-1.647874523	1.360828337	18.25105933	650	1300	1300	5.813323974	2.301879883	16.23040771	0.903039735	0.096960265	0	0	0
Hafferia_immaculata	Thamnophilidae	-1.167343923	0.207800852	17.47741881	1000	2000	2000	7.108276367	10.80908203	7.401611328	0.002801559	0.913070796	0	0	0.084127645
Hafferia_zeledoni	Thamnophilidae	-1.167343923	0.207800852	17.47741881	1000	2000	2000	4.26382719	11.0997369	13.67181942	0	0.260900228	0	0	0.739099772
Herpsilochmus_atricapillus	Thamnophilidae	-1.19893995	0.864565555	16.00949218	725	1450	1450	14.49615478	2.731689453	23.52893066	0.032728512	0.027099002	0.565542173	0.374630313	0
Herpsilochmus_axillaris	Thamnophilidae	-1.670978378	1.563129436	17.11475393	1350	2000	1300	3.661010743	5.580322266	3.838623047	0.098969588	0.871258268	0	0	0.029772143
Herpsilochmus_dorsimaculatus	Thamnophilidae	-1.276360413	1.025755892	16.03459477	300	600	600	2.198760986	7.6663208	10.93511963	1	0	0	0	0
Herpsilochmus_dugandi	Thamnophilidae	-1.173724836	0.654039341	16.0172884	350	600	500	0.487487793	1.569885254	2.164794922	0.764105266	0.235894734	0	0	0
Herpsilochmus_gentryi	Thamnophilidae	-1.476579087	1.258708686	16.56441044	75	150	150	3.114410401	2.58581543	1.057189942	1	0	0	0	0
Herpsilochmus_longirostris	Thamnophilidae	-1.513970262	1.327634527	16.58104817	625	1100	950	15.36679077	6.411987304	17.90960693	0.092149862	0.000968097	0.530513152	0.376368889	0
Herpsilochmus_motacilloides	Thamnophilidae	-1.035995573	0.713267404	15.51276264	1500	2100	1200	11.32040405	9.145385742	4.350036621	0.14379706	0.85620294	0	0	0
Herpsilochmus_parkeri	Thamnophilidae	-1.035995573	0.713267404	15.51276264	1350	1450	200	5.62915039	5.204101563	0.850097655	0.059241505	0.940758495	0	0	0
Herpsilochmus_pectoralis	Thamnophilidae	-2.13345987	1.911578249	19.4496602	425	850	850	7.64152801	2.251249075	10.78055787	0.094408898	0	0.377144898	0.528446203	0
Herpsilochmus_pileatus	Thamnophilidae	-1.19893995	0.864565555	16.00949218	75	150	150	14.56835175	12.41789247	4.300918568	0	0	0	1	0
Herpsilochmus_praedictus	Thamnophilidae	-0.902699092	0.290674341	15.48671378	75	150	150	5.990127208	3.420309322	5.139635773	1	0	0	0	0
Herpsilochmus_roraimae	Thamnophilidae	-1.860734054	1.718502754	18.21303703	1350	2000	1300	3.926422119	7.409118652	6.965393066	1	0	0	0	0
Herpsilochmus_rufimarginatus	Thamnophilidae	-1.985231741	1.811143265	18.81479244	750	1500	1500	4.317565917	11.51849365	31.67211914	0.207680375	0.124899779	0.069083496	0.558673484	0.039662867
Herpsilochmus_sellowi	Thamnophilidae	-2.287092656	2.12505476	20.6111393	700	1100	800	6.664001465	4.287109375	4.75378418	0.035443099	0	0.834694954	0.129861948	0
Herpsilochmus_stictocephalus	Thamnophilidae	-1.276360413	1.025755892	16.03459477	350	700	700	6.93157959	8.410278321	2.957397462	1	0	0	0	0
Herpsilochmus_sticturus	Thamnophilidae	-1.173724836	0.654039341	16.0172884	275	550	550	3.949557398	8.051702687	8.204290578	1	0	0	0	0
Herpsilochmus_stotzi	Thamnophilidae	-0.902699092	0.290674341	15.48671378	75	150	150	8.369732435	5.125583758	6.488297354	0.999838648	0	0.000161352	0	0
Hylophylax_naevioides	Thamnophilidae	-2.045341554	1.854489324	20.82344908	550	1100	1100	9.21661377	16.02709961	13.62097168	0	0.189947588	0	0	0.810052412
Hylophylax_naevius	Thamnophilidae	-2.045341554	1.854489324	20.82344908	675	1350	1350	3.907470703	7.857116699	7.899291992	0.883656221	0.112848829	0.00349495	0	0
Hylophylax_punctulatus	Thamnophilidae	-2.205541322	1.983383113	21.72563746	175	350	350	4.113268811	7.766282234	7.306026847	0.994275089	0.003384705	0.002340206	0	0
Hypocnemis_cantator	Thamnophilidae	-1.330635881	1.048838891	18.00092162	700	1400	1400	2.511749268	8.143920899	11.26434326	1	0	0	0	0
Hypocnemis_flavescens	Thamnophilidae	-1.550231686	1.103255658	18.75825095	700	1400	1400	3.396514893	7.569519043	8.346008301	1	0	0	0	0
Hypocnemis_hypoxantha	Thamnophilidae	-2.215329374	2.05647633	20.47184228	451	900	898	3.949555916	2.238708496	12.37652883	0.955853582	0.044146418	0	0	0
Hypocnemis_ochrogyna	Thamnophilidae	-0.918346362	0.620422712	16.62594648	679	1300	1242	12.2220459	8.045898438	8.352294922	0.702114242	0	0.297885758	0	0
Hypocnemis_peruviana	Thamnophilidae	-1.147584888	0.923346184	17.29713886	661	1300	1278	0.069396973	3.271484375	6.404174805	0.856951607	0.143048393	0	0	0
Hypocnemis_rondoni	Thamnophilidae	-0.701858963	0.42517296	15.99694266	75	150	150	7.55960606	5.441885765	4.235440591	1	0	0	0	0
Hypocnemis_striata	Thamnophilidae	-0.701858963	0.42517296	15.99694266	75	150	150	7.046844483	1.026794434	12.0401001	0.986899435	0	0.013100565	0	0
Hypocnemis_subflava	Thamnophilidae	-1.858040421	1.296887959	19.58689771	721.5	1300	1157	13.14404297	8.485778808	9.316528321	0.303271804	0.696728196	0	0	0
Hypocnemoides_maculicauda	Thamnophilidae	-2.052743689	1.546593529	21.56489749	250	500	500	1.481048584	0.538513184	1.885070801	0.768387231	0.042855844	0.188756925	0	0
Hypocnemoides_melanopogon	Thamnophilidae	-2.052743689	1.546593529	21.56489749	350	700	700	4.1612854	10.55310059	12.78363037	0.985040668	0.014959332	0	0	0
Hypoedaleus_guttatus	Thamnophilidae	-2.128074611	1.960609722	20.24328115	450	900	900	19.06255577	8.660900615	20.80331031	0	0	0.035174617	0.964825383	0
Isleria_guttata	Thamnophilidae	-2.158500758	1.42113615	23.60795177	350	700	700	3.311218262	8.163513183	9.704589843	1	0	0	0	0
Isleria_hauxwelli	Thamnophilidae	-2.158500758	1.42113615	23.60795177	300	600	600	0.585845947	4.375305175	7.578918457	0.885784255	0.058503277	0.055712468	0	0
Mackenziaena_leachii	Thamnophilidae	-1.935221527	1.644701576	19.47918674	1075	2150	2150	24.54849243	18.67907715	11.73883057	0	0	0.054632428	0.945367572	0
Mackenziaena_severa	Thamnophilidae	-1.935221527	1.644701576	19.47918674	700	1400	1400	21.31838989	14.33599853	13.96478272	0	0	0.038662328	0.961337672	0
Megastictus_margaritatus	Thamnophilidae	-2.618472227	2.545381509	25.32017637	625	1250	1250	0.294250488	6.36151123	13.31152344	0.977585241	0.022414759	0	0	0
Microrhopias_quixensis	Thamnophilidae	-2.642777417	2.543351879	26.20799372	700	1400	1400	8.215545654	18.61688232	20.80267334	0.585099349	0.065013866	0.027773566	0	0.322113219
Myrmeciza_longipes	Thamnophilidae	-2.46725333	2.348858752	22.81899872	900	1800	1800	5.411667533	12.36441173	13.90548838	0.402274426	0.192867746	0	0	0.404857828
Myrmelastes_brunneiceps	Thamnophilidae	-1.405218356	1.079274513	18.84897526	850	1700	1700	12.84310913	11.42840576	2.829406738	0.155727077	0.844272923	0	0	0
Myrmelastes_caurensis	Thamnophilidae	-1.757960974	1.490839494	19.80575894	750	1500	1500	4.111877441	7.578674316	6.93359375	1	0	0	0	0
Myrmelastes_humaythae	Thamnophilidae	-1.216624595	0.983998351	18.04028305	850	1700	1700	6.928497314	2.390502929	9.07598877	1	0	0	0	0
Myrmelastes_hyperythrus	Thamnophilidae	-1.949520057	1.71330249	20.69368952	400	800	800	7.334899903	1.36932373	17.40844727	0.889108416	0.110891584	0	0	0
Myrmelastes_leucostigma	Thamnophilidae	-1.216624595	0.983998351	18.04028305	850	1700	1700	2.338028459	7.986452845	20.64896261	0.865304818	0.134695182	0	0	0
Myrmelastes_rufifacies	Thamnophilidae	-1.650635423	1.222381519	19.73266588	850	1700	1700	5.841430664	1.556884766	8.569091796	1	0	0	0	0
Myrmelastes_saturatus	Thamnophilidae	-1.757960974	1.490839494	19.80575894	850	1700	1700	5.298706055	6.059692383	1.521972656	1	0	0	0	0
Myrmelastes_schistaceus	Thamnophilidae	-1.968562147	1.760847926	20.70957876	200	400	400	5.277160644	0.653076172	11.86047363	0.99733052	0.00266948	0	0	0
Myrmoborus_leucophrys	Thamnophilidae	-1.760545798	1.372932488	18.89526383	850	1700	1700	3.515747071	10.01727295	13.00305176	0.827036386	0.113849623	0.059113991	0	0
Myrmoborus_lophotes	Thamnophilidae	-1.917927942	1.779917293	18.99438673	725	1450	1450	11.22700064	8.369628906	5.714743468	0.794331431	0.205668569	0	0	0
Myrmoborus_lugubris	Thamnophilidae	-1.760545798	1.372932488	18.89526383	75	150	150	0.373010087	1.484509611	3.715039397	1	0	0	0	0
Myrmoborus_melanurus	Thamnophilidae	-1.917927942	1.779917293	18.99438673	75	150	150	5.257428123	2.600366501	5.314123245	1	0	0	0	0
Myrmoborus_myotherinus	Thamnophilidae	-2.126961222	2.002598294	20.38772648	700	1400	1400	2.677764893	7.105712891	8.855895997	0.828582145	0.11159717	0.059820685	0	0
Myrmochanes_hemileucus	Thamnophilidae	-2.118550001	1.751869506	23.2007738	150	300	300	7.598388671	0.216674804	14.76342774	0.968258878	0.031741122	0	0	0
Myrmoderus_eowilsoni	Thamnophilidae	-1.97045448	1.468601964	21.43308882	1570	1570	1570	7.39	7.39	0.1	0	1	0	0	0
Myrmoderus_ferrugineus	Thamnophilidae	-1.97045448	1.468601964	21.43308882	275	550	550	3.470011212	8.481099083	10.02217574	1	0	0	0	0
Myrmoderus_loricatus	Thamnophilidae	-1.805047081	1.364736399	20.52869933	1000	1300	600	18.01345825	12.51971436	10.98748779	0	0	0.029245367	0.970754633	0
Myrmoderus_ruficauda	Thamnophilidae	-2.10970694	1.869790231	21.56707485	275	550	550	12.95193481	6.765686035	12.37249756	0	0	0.002108798	0.997891202	0
Myrmoderus_squamosus	Thamnophilidae	-1.805047081	1.364736399	20.52869933	500	1000	1000	22.37384033	21.98010254	0.787475586	0	0	0.028366737	0.971633263	0
Myrmophylax_atrothorax	Thamnophilidae	-2.338268529	2.155109038	23.62000238	800	1600	1600	2.738891602	7.708312989	9.938842775	0.865749009	0.069474588	0.064776403	0	0
Myrmorchilus_strigilatus	Thamnophilidae	-2.733205369	2.58977667	27.55656879	550	1100	1100	16.21334839	3.896789551	24.63311768	0.058904483	0.063483516	0.753063658	0.124548343	0
