aos.howardmoore.species	howardmoore.family	dr.statistic	tb.statistic	nh.statistic	elev.mid	elev.max	elev.range	lat.mid	lat.max	lat.range	AM_percent	AN_percent	DT_percent	AF_percent	CA_percent
Pygiptila_stellaris	Thamnophilidae	-2.765834939	2.229973432	29.78253199	350	700	700	6.405609131	7.419128418	2.027038574	0.948934346	0.041905999	0.009159655	0	0
Pyriglena_atra	Thamnophilidae	-1.441160648	0.870087618	18.66193532	75	150	150	11.91970825	11.16760254	1.504211426	0	0	0.020032223	0.979967777	0
Pyriglena_leuconota	Thamnophilidae	-1.802381985	1.282355057	19.51850455	1050	2100	2100	4.464111034	2.142883301	13.21398867	0.381917658	0.263945771	0.246867617	0.055122696	0.052146259
Pyriglena_leucoptera	Thamnophilidae	-1.441160648	0.870087618	18.66193532	625	1250	1250	20.59939575	13.37609863	14.44659424	0	0	0.053461299	0.946538701	0
Rhegmatorhina_berlepschi	Thamnophilidae	-0.351983309	-0.266593997	16.67321966	75	150	150	3.437217523	1.940353016	2.993729015	1	0	0	0	0
Rhegmatorhina_cristata	Thamnophilidae	-1.361073939	0.832097109	19.23095474	75	150	150	0.518798828	1.785705567	4.60900879	1	0	0	0	0
Rhegmatorhina_gymnops	Thamnophilidae	-0.731302702	0.179249342	17.46858144	75	150	150	5.59085083	1.682495117	7.816711426	1	0	0	0	0
Rhegmatorhina_hoffmannsi	Thamnophilidae	-0.351983309	-0.266593997	16.67321966	150	300	300	9.721435546	3.360595703	12.72167969	0.777055912	0	0.222944088	0	0
Rhegmatorhina_melanosticta	Thamnophilidae	-1.084936589	0.702168615	18.32501631	675	1350	1350	6.667785644	2.992126465	19.31982422	0.800194526	0.199805474	0	0	0
Rhopias_gularis	Thamnophilidae	-2.493080212	2.401395956	23.39162326	925	1550	1250	23.92129517	18.11828613	11.60601807	0	0	0.018740542	0.981259458	0
Rhopornis_ardesiacus	Thamnophilidae	-2.335541609	2.183812019	21.94781711	500	1000	1000	14.57000732	13.0769043	2.986206054	0	0	0.043488529	0.956511471	0
Sakesphorus_canadensis	Thamnophilidae	-2.054601446	1.449705685	20.89501168	450	900	900	4.691854573	12.48931885	15.59492855	0.56768517	0.126688801	0	0	0.305626029
Sakesphorus_cristatus	Thamnophilidae	-2.461862749	2.42028227	21.98221377	550	1100	1100	8.428055644	2.837361097	11.18138909	0.001310253	0	0.618687401	0.380002346	0
Sakesphorus_luctuosus	Thamnophilidae	-2.054601446	1.449705685	20.89501168	75	150	150	0.513214111	1.204101563	3.434631349	0.903199736	0	0.096800264	0	0
Sciaphylax_castanea	Thamnophilidae	-2.008010734	1.240561113	21.47338733	675	1350	1350	2.033043438	0.975097656	6.016282188	0.596736184	0.403263816	0	0	0
Sciaphylax_hemimelaena	Thamnophilidae	-2.008010734	1.240561113	21.47338733	750	1500	1500	9.525115967	1.932922363	15.18438721	0.773411746	0.164445101	0.062143153	0	0
Sclateria_naevia	Thamnophilidae	-2.354586295	2.074568689	22.65149886	350	700	700	3.96636963	10.84191895	13.75109863	0.9742144	0.015960393	0.009825207	0	0
Sipia_berlepschi	Thamnophilidae	-2.071421139	1.789875362	21.98502095	325	650	650	3.840087891	6.546081543	5.411987305	0	0.071866332	0	0	0.928133668
Sipia_laemosticta	Thamnophilidae	-1.567897243	1.289296834	19.84677613	700	1100	800	9.928676395	11.08661356	2.315874335	0	0	0	0	1
Sipia_nigricauda	Thamnophilidae	-1.567897243	1.289296834	19.84677613	600	1200	1200	3.341278076	6.322082519	5.961608886	0	0.28890772	0	0	0.71109228
Sipia_palliata	Thamnophilidae	-1.785551942	1.383702756	20.86031008	700	1100	800	7.557006836	9.87109375	4.628173828	0.001475275	0.818573771	0	0	0.179950954
Stymphalornis_acutirostris	Thamnophilidae	-1.650283716	1.486141054	19.33433019	2.5	5	5	26.20352259	23.08020514	6.246634906	0	0	0	1	0
Taraba_major	Thamnophilidae	-2.346840738	2.25417236	21.77128069	1100	2200	2200	7.861022949	18.75872803	21.79541016	0.351411888	0.091775336	0.269572414	0.170119534	0.117120827
Terenura_maculata	Thamnophilidae	-2.554379872	2.278606653	26.08749875	625	1250	1250	20.64639282	13.26068115	14.77142334	0	0	0.020283798	0.979716202	0
Thamnistes_anabatinus	Thamnophilidae	-2.765834939	2.229973432	29.78253199	850	1700	1700	11.17956492	17.81970215	13.28027446	0.042317526	0.313001234	0	0	0.644681241
Thamnomanes_ardesiacus	Thamnophilidae	-1.941462084	1.326486234	21.67628973	550	1100	1100	3.833526612	9.208129883	10.74920654	0.925467899	0.074532101	0	0	0
Thamnomanes_caesius	Thamnophilidae	-1.966601344	1.416486458	21.699945	550	1100	1100	0.186248779	7.913513184	16.19952393	0.672452897	0.021260957	0.107726025	0.198560121	0
Thamnomanes_saturninus	Thamnophilidae	-1.941462084	1.326486234	21.67628973	75	150	150	8.195587158	1.898498535	12.59417725	0.964202224	0	0.035797776	0	0
Thamnomanes_schistogynus	Thamnophilidae	-1.966601344	1.416486458	21.699945	700	1400	1400	10.00564575	2.439575195	15.13214111	0.774417721	0.225582279	0	0	0
Thamnophilus_aethiops	Thamnophilidae	-1.315906824	1.172004779	16.15337365	1000	2000	2000	5.006991855	7.564514161	25.14301203	0.834273081	0.085838581	0.05810454	0.021783798	0
Thamnophilus_amazonicus	Thamnophilidae	-1.932948425	1.817908419	18.52692031	350	700	700	2.439178467	7.108886719	9.339416505	0.883746779	0.017328276	0.098924945	0	0
